i94port,portname,country,addr
RIT,ROME,ITALY,INTL
SNO,SAKONNAKHON,THAILAND,INTL
SLP,SANLUISPOTOSI,MEXICO,INTL
SAN,SANSALVADOR,ELSALVADOR,INTL
SRO,SANTANARAMOS,COLOMBIA,INTL
GRU,GUARULHOSINTL SAOPAULO,BRAZIL,INTL
SHA,SHANNON,IRELAND,INTL
HIL,SHILLAVO,ETHIOPIA,INTL
TOK,TOROKINA PAPUA,NEWGUINEA,INTL
VER,VERACRUZ,MEXICO,INTL
LGW,WESTSUSSEX,ENGLAND,INTL
ZZZ,MEXICO LAND,MEXICO,INTL
MAA,ABUDHABI,ABUDHABI,INTL
XXX,NOTREPORTED/UNKNOWN,NA,NA
888,UNIDENTIFEDAIR/SEAPORT,NA,NA
UNK,UNKNOWNPOE,NA,NA
FRG,Collapsed(FOK)43997,NA,NA
HRL,Collapsed(HLG)43997,NA,NA
ISP,Collapsed(FOK)43997,NA,NA
JSJ,Collapsed(SAJ)43997,NA,NA
BUS,Collapsed(BUF)43997,NA,NA
IAG,Collapsed(NIA)43997,NA,NA
PHN,Collapsed(PHU)43997,NA,NA
STN,Collapsed(STR)43997,NA,NA
VMB,Collapsed(VNB)43997,NA,NA
T01,Collapsed(SEA)43997,NA,NA
CHN,NoPORTCode(CHN),NA,NA
PHF,NoPORTCode(PHF),NA,NA
DRV,NoPORTCode(DRV),NA,NA
FTB,NoPORTCode(FTB),NA,NA
GAC,NoPORTCode(GAC),NA,NA
GMT,NoPORTCode(GMT),NA,NA
JFA,NoPORTCode(JFA),NA,NA
JMZ,NoPORTCode(JMZ),NA,NA
NC8,NoPORTCode(NC8),NA,NA
NYL,NoPORTCode(NYL),NA,NA
OAI,NoPORTCode(OAI),NA,NA
PCW,NoPORTCode(PCW),NA,NA
WA5,NoPORTCode(WAS),NA,NA
WTR,NoPORTCode(WTR),NA,NA
X96,NoPORTCode(X96),NA,NA
XNA,NoPORTCode(XNA),NA,NA
YGF,NoPORTCode(YGF),NA,NA
5T6,NoPORTCode(5T6),NA,NA
60,NoPORTCode-60,NA,NA
SP0,NoPORTCode(SP0),NA,NA
W55,NoPORTCode(W55),NA,NA
X44,NoPORTCode(X44),NA,NA
AUH,NoPORTCode(AUH),NA,NA
RYY,NoPORTCode(RYY),NA,NA
SUS,NoPORTCode(SUS),NA,NA
74S,NoPORTCode(74S),NA,NA
ATW,NoPORTCode(ATW),NA,NA
CPX,NoPORTCode(CPX),NA,NA
MTH,NoPORTCode(MTH),NA,NA
PFN,NoPORTCode(PFN),NA,NA
SCH,NoPORTCode(SCH),NA,NA
ASI,NoPORTCode(ASI),NA,NA
BKF,NoPORTCode(BKF),NA,NA
DAY,NoPORTCode(DAY),NA,NA
Y62,NoPORTCode(Y62),NA,NA
AG,NoPORTCode(AG),NA,NA
BCM,NoPORTCode(BCM),NA,NA
DEC,NoPORTCode(DEC),NA,NA
PLB,NoPORTCode(PLB),NA,NA
CXO,NoPORTCode(CXO),NA,NA
JBQ,NoPORTCode(JBQ),NA,NA
JIG,NoPORTCode(JIG),NA,NA
OGS,NoPORTCode(OGS),NA,NA
TIW,NoPORTCode(TIW),NA,NA
OTS,NoPORTCode(OTS),NA,NA
AMT,NoPORTCode(AMT),NA,NA
EGE,NoPORTCode(EGE),NA,NA
GPI,NoPORTCode(GPI),NA,NA
NGL,NoPORTCode(NGL),NA,NA
OLM,NoPORTCode(OLM),NA,NA
GA,NoPORTCode(GA),NA,NA
CLX,NoPORTCode(CLX),NA,NA
CP,NoPORTCode(CP),NA,NA
FSC,NoPORTCode(FSC),NA,NA
NK,NoPORTCode(NK),NA,NA
ADU,NoPORTCode(ADU),NA,NA
AKT,NoPORTCode(AKT),NA,NA
LIT,NoPORTCode(LIT),NA,NA
A2A,NoPORTCode(A2A),NA,NA
OSN,NoPORTCode(OSN),NA,NA
